config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('05_stackmath_numerical', 'Beg', 'Low', 'N')",05_stackmath_numerical,Beg,Low,N,success,18,0.16666666666666666,0.49999999999999994,0,2,11.11111111111111
"('05_stackmath_numerical', 'Beg', 'Low', 'P')",05_stackmath_numerical,Beg,Low,P,success,19,0.8421052631578947,2.253959274248827,0,10,26.31578947368421
"('05_stackmath_numerical', 'Beg', 'Low', 'T')",05_stackmath_numerical,Beg,Low,T,success,20,5.3,12.919365309487924,0,49,30.0
"('05_stackmath_numerical', 'Beg', 'Medium', 'N')",05_stackmath_numerical,Beg,Medium,N,success,20,0.9,1.7578395831246947,0,6,25.0
"('05_stackmath_numerical', 'Beg', 'Medium', 'P')",05_stackmath_numerical,Beg,Medium,P,success,18,1.0555555555555556,3.894044201972235,0,17,11.11111111111111
"('05_stackmath_numerical', 'Beg', 'Medium', 'T')",05_stackmath_numerical,Beg,Medium,T,success,20,1.85,3.1507935508376304,0,11,35.0
"('05_stackmath_numerical', 'End', 'High', 'N')",05_stackmath_numerical,End,High,N,success,20,1.8,4.4788391353117385,0,19,20.0
"('05_stackmath_numerical', 'End', 'High', 'P')",05_stackmath_numerical,End,High,P,success,19,3.3684210526315788,7.072634633912595,0,25,31.57894736842105
"('05_stackmath_numerical', 'End', 'High', 'T')",05_stackmath_numerical,End,High,T,success,20,3.55,4.14095399636364,0,15,60.0
"('05_stackmath_numerical', 'End', 'Low', 'N')",05_stackmath_numerical,End,Low,N,success,19,0.21052631578947367,0.8931875130777442,0,4,5.263157894736842
"('05_stackmath_numerical', 'End', 'Low', 'P')",05_stackmath_numerical,End,Low,P,success,19,2.5789473684210527,5.4223299466061174,0,23,31.57894736842105
"('05_stackmath_numerical', 'End', 'Low', 'T')",05_stackmath_numerical,End,Low,T,success,19,0.42105263157894735,1.2275688199674315,0,4,10.526315789473683
"('05_stackmath_numerical', 'End', 'Medium', 'N')",05_stackmath_numerical,End,Medium,N,success,20,1.6,4.211887937730538,0,17,15.0
"('05_stackmath_numerical', 'End', 'Medium', 'P')",05_stackmath_numerical,End,Medium,P,success,19,0.7368421052631579,2.098673898671251,0,9,15.789473684210526
"('05_stackmath_numerical', 'End', 'Medium', 'T')",05_stackmath_numerical,End,Medium,T,success,19,2.9473684210526314,8.592981739772021,0,28,10.526315789473683
"('05_stackmath_numerical', 'Mid', 'High', 'N')",05_stackmath_numerical,Mid,High,N,success,20,2.4,6.143289021363067,0,26,20.0
"('05_stackmath_numerical', 'Mid', 'High', 'P')",05_stackmath_numerical,Mid,High,P,success,20,0.1,0.4358898943540673,0,2,5.0
"('05_stackmath_numerical', 'Mid', 'High', 'T')",05_stackmath_numerical,Mid,High,T,success,20,0.35,1.152171862180291,0,5,10.0
"('05_stackmath_numerical', 'Mid', 'Low', 'N')",05_stackmath_numerical,Mid,Low,N,success,18,1.2777777777777777,2.206192183518309,0,7,27.77777777777778
"('05_stackmath_numerical', 'Mid', 'Low', 'P')",05_stackmath_numerical,Mid,Low,P,success,20,0.15,0.6538348415311012,0,3,5.0
"('05_stackmath_numerical', 'Mid', 'Low', 'T')",05_stackmath_numerical,Mid,Low,T,success,20,2.75,4.345975149491768,0,17,40.0
"('05_stackmath_numerical', 'Mid', 'Medium', 'N')",05_stackmath_numerical,Mid,Medium,N,success,19,1.5789473684210527,3.249547166406975,0,13,31.57894736842105
