row_id,layer,head,entropy,eff_rank,head_sim,self_attn_ratio
3,1,0,2.340398788,1.000027657,0.714187562,0.102526769
3,1,1,2.7385993,1.000021458,0.70552516,0.095054671
3,1,2,4.773636341,1.000016451,0.690413415,0.02536888
3,1,3,4.334949017,1.000001669,0.689438045,0.034582026
3,1,4,3.76902914,1.000011802,0.819157958,0.068971656
3,1,5,4.603072166,1.000011921,0.838775218,0.07758262
3,1,6,4.441222191,1.000010252,0.823295832,0.037606545
3,1,7,4.94689703,1.000014186,0.820702493,0.017702289
3,1,8,5.34107399,1.000005364,0.802177489,0.009414325
3,1,9,5.431657314,1.000007272,0.77897948,0.00690761
3,1,10,4.470480442,1.000014186,0.625274062,0.040285282
3,1,11,1.740374923,1.000026822,0.773391783,0.674695909
3,2,0,2.521942616,1.000000834,0.888060153,0.094617948
3,2,1,4.622141361,1.000000596,0.874978065,0.010744197
3,2,2,1.086562991,1.000004292,0.887234092,0.119357795
3,2,3,1.920856476,1.000004768,0.864614666,0.137016773
3,2,4,1.674466014,1.000000119,0.872521639,0.082386613
3,2,5,1.834349632,1.000003457,0.88263756,0.136084959
3,2,6,2.722558498,1.000004411,0.81523031,0.074361287
3,2,7,2.602020979,1,0.847889125,0.032420997
3,2,8,1.904762626,1.000001669,0.899127603,0.116935849
3,2,9,1.752577543,1.000005364,0.86105752,0.123997509
3,2,10,3.117376328,1.000029922,0.493046403,0.127920151
3,2,11,3.132352829,1.000000238,0.888686359,0.109290168
3,3,0,2.758500576,1,0.994765341,0.078141987
3,3,1,1.867813587,1,0.994636357,0.063282311
3,3,2,1.423873425,1.000000358,0.989783704,0.11867553
3,3,3,0.917679965,1,0.994779348,0.05981366
3,3,4,3.620544195,1,0.995151937,0.008107997
3,3,5,2.634292841,1,0.9957937,0.036511809
3,3,6,1.69013536,1.000000358,0.986351788,0.156568035
3,3,7,1.415090084,1.000000119,0.992774904,0.106109492
3,3,8,1.521581054,1.000000119,0.991145194,0.114766583
3,3,9,1.497853756,1,0.995389521,0.071852408
3,3,10,1.773481727,1,0.994990706,0.157638878
3,3,11,1.748335719,1.000000119,0.994811058,0.097925805
3,4,0,1.223972082,1,0.916735113,0.06110948
3,4,1,1.53143096,1,0.917236745,0.06227101
3,4,2,2.125386953,1,0.914730787,0.015619969
3,4,3,1.570790291,1.000000119,0.917638421,0.071946174
3,4,4,3.005736828,1,0.916294098,0.041726328
3,4,5,1.47370851,1,0.916220307,0.065995365
3,4,6,2.030467272,1,0.916815519,0.039677944
3,4,7,1.85607028,1.000000477,0.919709563,0.475431204
3,4,8,3.672293663,1,0.918401539,0.014983164
3,4,9,1.75363636,1,0.916253448,0.036644123
3,4,10,3.306421995,1,0.916091681,0.011883545
3,4,11,0.009367937,1.000028253,0.133353621,0.003720615
3,5,0,2.435390949,1,0.998527288,0.012169553
3,5,1,0.304656684,1,0.998209357,0.004407045
3,5,2,1.407276511,1,0.998547137,0.021434307
3,5,3,2.180233002,1,0.99668622,0.034984078
3,5,4,1.447047949,1,0.998414636,0.052581809
3,5,5,1.945950031,1,0.99860096,0.011562402
3,5,6,0.617604375,1,0.998367548,0.021971926
3,5,7,0.914246917,1,0.998420119,0.041860305
3,5,8,1.108453512,1,0.99853301,0.027056679
3,5,9,2.873292923,1,0.998765409,0.006482804
3,5,10,3.597017288,1.000000238,0.991397619,0.046776079
3,5,11,2.610802412,1,0.998673975,0.094466209
3,6,0,1.761989951,1,0.996631086,0.03687118
3,6,1,0.684002578,1,0.998644412,0.019585699
3,6,2,3.447312832,1,0.998426259,0.012698678
3,6,3,1.542296886,1,0.998961687,0.016094819
3,6,4,3.338042021,1,0.997155786,0.021378949
3,6,5,1.682063341,1,0.999034166,0.062393099
3,6,6,2.80350852,1,0.999024332,0.062666222
3,6,7,2.181154728,1,0.998650551,0.044800334
3,6,8,1.167866468,1,0.998856544,0.025071379
3,6,9,0.64711684,1,0.998592734,0.004485817
